algoritmo,size_mb,object_id,ratio_compresion,tiempo_compresion_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_comp_s,tiempo_io_read_comp_s,tiempo_descompresion_s
BZ2,1,24,1191.56x,0.188597,0.000590,0.000148,0.000212,0.000018,0.008932
BZ2,1,25,1191.56x,0.188044,0.000591,0.000104,0.000206,0.000023,0.009091
BZ2,1,26,1191.56x,0.188611,0.000579,0.000148,0.000130,0.000015,0.009065
BZ2,1,27,1191.56x,0.188285,0.000595,0.000148,0.000129,0.000014,0.008974
BZ2,1,28,1191.56x,0.188384,0.000579,0.000107,0.000205,0.000017,0.008907
BZ2,1,29,1191.56x,0.188795,0.000577,0.000146,0.000208,0.000018,0.008895
BZ2,1,30,1191.56x,0.189071,0.000589,0.000150,0.000204,0.000018,0.008962
BZ2,1,31,1191.56x,0.188278,0.000569,0.000106,0.000217,0.000019,0.009176
BZ2,10,1,1878.50x,1.948898,0.005861,0.001945,0.000177,0.000020,0.099735
BZ2,10,2,1878.50x,2.212016,0.005768,0.001804,0.000169,0.000020,0.093409
BZ2,10,3,1878.50x,1.949175,0.005701,0.001902,0.000181,0.000020,0.096027
BZ2,10,4,1878.50x,1.935670,0.005744,0.001860,0.000184,0.000021,0.087954
BZ2,10,5,1878.50x,1.956960,0.005735,0.001909,0.000192,0.000020,0.090820
BZ2,10,6,1878.50x,2.013743,0.005696,0.001918,0.000183,0.000020,0.088529
BZ2,10,7,1878.50x,1.938191,0.005918,0.001906,0.000174,0.000020,0.087829
BZ2,10,8,1878.50x,2.247011,0.005764,0.002060,0.000175,0.000018,0.094873
BZ2,10,9,1878.50x,2.013638,0.005684,0.002038,0.000195,0.000022,0.088270
BZ2,10,10,1878.50x,1.936100,0.005795,0.002132,0.000187,0.000021,0.088259
BZ2,10,11,1878.50x,2.243289,0.010401,0.002318,0.000178,0.000027,0.094821
BZ2,10,12,1878.50x,2.013846,0.009312,0.002203,0.000194,0.000025,0.091012
BZ2,10,13,1878.50x,1.937678,0.009888,0.001879,0.000185,0.000020,0.087779
BZ2,10,14,1878.50x,2.247290,0.010651,0.001862,0.000205,0.000029,0.094873
BZ2,10,15,1878.50x,2.016347,0.009167,0.001828,0.000195,0.000030,0.089198
BZ2,10,16,1878.50x,1.939948,0.005713,0.002157,0.000181,0.000023,0.088925
BZ2,10,17,1878.50x,2.245258,0.009662,0.002176,0.000182,0.000028,0.095591
BZ2,10,18,1878.50x,2.014065,0.009487,0.001911,0.000196,0.000021,0.088544
BZ2,10,19,1878.50x,1.940997,0.009571,0.001867,0.000190,0.000029,0.088858
